FCID,ANNPRE,ANNTMP,AUGMAXT,CONTPRE,CVPRE,DECMINT,DIFTMP,SMRTMP,SMRTP,ASPTR,DEM,PRR,SLPPCT,TPI450,TC1,TC2,TC3,NBR
52698,696.2222,1068.3333,2788.2222,510,8973.8889,-40.7778,2829.8889,1647,334,153.2222,738.1111,10019.1111,49.5556,-30.1111,180.2222,138.5556,-22,738.1111
52699,704.5556,962.7778,2477.7778,499.3333,9020.5556,18,2460.2222,1526,307,50.1111,1146.5556,15625.1111,39.8889,41.7778,159.6667,113.8889,-25.1111,706.7778
52700,693.1111,1045.6667,2601.6667,495,9037,59.3333,2542.3333,1621.3333,334,26.5556,906.2222,18976.5556,30.2222,-61.8889,221.1111,124.5556,-66.7778,548
52701,702.5556,1019.7778,2558.5556,498.6667,9022,65.6667,2493,1588.6667,320.8889,29.5556,947.5556,18695.2222,28.4444,-58.2222,261.3333,146.5556,-80.7778,535.5556
52702,707.6667,1065,2616.7778,498,9009.3333,53.6667,2563,1648.8889,329.4444,191.3333,873.6667,14554.7778,35.6667,-38.5556,232.7778,146.8889,-56,630.8889
52703,703,1114.5556,2771.7778,495,9015.6667,34.7778,2737.3333,1705.3333,344.3333,7.8889,738.3333,16578.5556,36,-46,231.8889,154.6667,-47.8889,660
52704,710.3333,1029.3333,2571.4444,496,9004.4444,51.3333,2520,1601.1111,318.5556,137,1052.1111,12112.1111,40.2222,48.4444,163.7778,112.2222,-29.8889,673.4444
52705,740.1111,825.8889,2298,500,8960,-64.8889,2363.7778,1370.5556,257.1111,58.1111,1280.5556,19359.3333,33.5556,42.2222,222,165.8889,-29.1111,732
52706,669,1120.3333,2898,475.1111,9106.6667,5.6667,2893.2222,1710.3333,373.5556,136.3333,701.3333,18075.3333,45.3333,21.5556,278.5556,231,-29.5556,777.2222
52707,672.1111,1129.4444,2711.8889,488.5556,9088.6667,97.4444,2614.4444,1708.7778,368.3333,84.8889,918.3333,19830.1111,42.5556,27.4444,313,178.6667,-106.4444,520.6667
52708,674,1140,2769,483,9086.7778,66.4444,2702.5556,1726.7778,372,23.5556,812.6667,19510.2222,35.3333,-8.5556,216.3333,153.3333,-41,676
52709,669.8889,1136.4444,2828.2222,481,9102.8889,44.6667,2783.6667,1724.1111,375,29.4444,757.6667,15880.7778,53.8889,22.5556,222.3333,129.3333,-72,543.5556
52710,696,1228,3110.8889,414,9201.8889,91,3020.2222,1842,382.6667,65.3333,499.4444,12657.7778,55.8889,-4,199.7778,106.3333,-49.8889,568.6667
52711,704,1185.4444,2997.1111,411.8889,9147.6667,98.1111,2899.3333,1785,363.1111,197.7778,618.3333,12647.6667,29.8889,32,187.7778,145.8889,-23,761.1111
52712,706,1158,3058.4444,413,9153.7778,43.4444,3015.2222,1757.4444,356,106.1111,424.6667,15891.4444,72.2222,-91.6667,318.3333,182.2222,-91.8889,561.4444
52713,705,1202.3333,3015,398.3333,9226.5556,122.4444,2892.2222,1797.4444,368.4444,108.5556,617.4444,18411.7778,32,27.6667,250.8889,161.4444,-51.2222,637.6667
52714,713,1090.3333,2689.1111,435,9011,159.2222,2530,1650.1111,325,175.8889,951.7778,15885.2222,33,4.7778,282.2222,153.8889,-85.6667,542.8889
52715,705,1144.3333,2978.8889,448.7778,9100.3333,78,2901.1111,1720.5556,345,14.6667,529.2222,16732.6667,24.5556,-33.3333,224.8889,154.5556,-52,658.8889
52716,703,1170.5556,3044.7778,416,9193,83.6667,2961.1111,1763.4444,358,146.1111,615,8907.3333,62.5556,3.1111,198.3333,118.4444,-48.1111,600.2222
52717,701,1193.6667,3138.8889,417,9210.6667,37.1111,3101.8889,1808.1111,368,166,532.1111,16433.7778,44.8889,105.6667,236.8889,174.6667,-41.2222,715.8889
52718,703,1170.1111,3056.3333,416,9195.1111,80,2976.1111,1763.2222,358.1111,93.8889,587.8889,10761.4444,63.1111,-2.5556,220.7778,133.6667,-54.5556,604.1111
52719,702,1141,2988.7778,426,9126,37.2222,2952.1111,1712.4444,346,140.3333,602.6667,17673,31.2222,87.7778,253,180.3333,-48.3333,682.2222
52720,709,1126.3333,2734.8889,418.5556,9100,131,2604,1687.7778,337,113.5556,932.4444,17157.4444,27,110.8889,237.5556,182.7778,-36.7778,728.2222
52721,715,1015.2222,2534.6667,442,8971.8889,125.6667,2409.1111,1545.3333,302.1111,104,1099,15156.4444,30.7778,88.1111,166.4444,123.4444,-24,720.8889
52722,711.7778,1092.5556,2628.6667,431,9040.3333,137.6667,2491.2222,1640.6667,323.7778,104.1111,886.4444,18695.2222,59.5556,-8.2222,205.8889,167.8889,-25,772.4444
52723,729.7778,990.1111,2494.6667,405,9073.5556,117,2378,1514,294,41.6667,1029.5556,19089.4444,20,8,201.1111,161.2222,-23.1111,757.4444
52724,714,1147.2222,2861.6667,619.7778,8625.6667,41.8889,2820.1111,1744.6667,330.6667,73.1111,640.3333,18133.6667,16.8889,-15.7778,235.5556,169.1111,-45.7778,685.5556
52725,716,1134.3333,2729.2222,597.3333,8680.3333,109.4444,2620,1710,325.1111,121.2222,828.2222,16526,34.8889,63.6667,238.3333,155.1111,-53.1111,625.6667
52726,713.3333,1051.7778,2644.8889,555.3333,8784.5556,65.2222,2579.8889,1621.4444,313.8889,37.4444,1043.8889,16038.4444,49.3333,110.6667,264.3333,133,-104.1111,437.6667
52727,718,1034,2611.5556,599.6667,8659.8889,75.6667,2536,1589.1111,302.8889,12.7778,1017.5556,20185.4444,40.6667,56.2222,317.3333,132.6667,-148.4444,350.6667
52728,715.7778,1039.2222,2766.8889,551.6667,8823.4444,-77,2845,1618,313,80.1111,772.6667,14465.7778,21.7778,-30.7778,159.3333,123,-18.1111,763.5556
52729,719.1111,1037,2755.2222,537.7778,8848.1111,-73.4444,2829.6667,1615.4444,311.2222,149.5556,801.1111,16899.6667,19.5556,-9.7778,237.4444,162.7778,-46.3333,674
52730,713.2222,1046.6667,2756.6667,513.6667,8935.3333,-65,2822.5556,1619,317,102.1111,821,14639.3333,35.8889,53,190.7778,150.5556,-18.7778,770.8889
52731,833,1030.2222,2492.7778,463.1111,9554.4444,153.1111,2339.7778,1546.7778,250,132.2222,962.3333,17417.2222,56.1111,9.3333,307.2222,251.3333,-35,773.6667
52732,731,1009.8889,2521.8889,507.7778,8941.7778,33,2488.8889,1576,299.5556,149.5556,1006.3333,8211.1111,57.2222,-30.6667,151,112.6667,-16.5556,753.4444
52733,717.6667,1044.3333,2664.8889,514.6667,8930.5556,-9.7778,2675.7778,1613,313.4444,161.8889,961.4444,16794.6667,45.5556,96.3333,225.8889,175.2222,-29.2222,744.7778
52734,719,1017,2570.3333,511,8938.4444,18.8889,2551.4444,1580.1111,306.5556,150.5556,917.1111,11753.1111,29.8889,-64,168.3333,126.7778,-19.6667,743.1111
52735,706,1061.3333,2804.3333,513,8945,-66.4444,2871.7778,1639.4444,325,4.3333,669.6667,18523.3333,19.8889,-26.2222,214.3333,143.6667,-47.8889,650.7778
52736,708,1052,2760.5556,515,8935.8889,-63.2222,2824.6667,1630.2222,321.5556,12.6667,779.6667,17758.4444,33.1111,26.3333,190.8889,146.6667,-23.2222,751.4444
52737,706.5556,1075.1111,2842.7778,522,8915.7778,-61.1111,2905.1111,1645.5556,325,101,601.2222,17143.5556,25.2222,-50.2222,252.7778,210.2222,-34.5556,771.7778
52738,707.2222,1081.5556,2690.1111,424.3333,9050.1111,167,2522.8889,1637.7778,329.3333,82.1111,942,16212.3333,18.3333,52,254.5556,109.1111,-87.8889,440.6667
52739,712,975.5556,2512,437.4444,8952.7778,80.2222,2431.7778,1533.2222,303.2222,58.3333,1123.3333,19540.2222,33.6667,-2.7778,280,181.7778,-63.4444,624.4444
52740,707,1103,2726,424,9056.6667,167,2558.7778,1665.4444,335.1111,98.8889,922.5556,13222.8889,37.4444,31.7778,168,101.8889,-37.3333,614.7778
52741,710,1115.6667,2732.1111,435,9001,178.1111,2554,1674.3333,331.7778,199.2222,896.3333,13297.2222,33.6667,48.3333,232.3333,137.3333,-57.3333,591
52742,711,1061,2651.5556,437,8974,133.7778,2517.6667,1620.8889,321,45.6667,920.8889,14644.8889,46.7778,-33.3333,189.2222,121.7778,-39.7778,651.2222
52743,710,1132,2758,433,9006,174.8889,2583.1111,1697.6667,337.2222,106.1111,888.8889,14358.7778,32.1111,64.4444,206.4444,152.8889,-32.1111,719.1111
52744,709,1156.6667,2907.4444,429.6667,9066.1111,114.3333,2792.8889,1743.1111,346.4444,120.4444,605.3333,17088.3333,46.4444,-74,245.6667,168.7778,-48.3333,673.3333
52745,711,1049.3333,2635.2222,438,8996.3333,142.3333,2492.8889,1602.2222,316,197,1029.6667,12898.1111,46.3333,52.4444,190.5556,129.7778,-37.5556,665.1111
52746,712,1083.8889,2685.8889,439.5556,8990.6667,166.7778,2519.1111,1638.2222,322.4444,79,1008.6667,17471.3333,16.8889,46.8889,249,146.8889,-65.8889,577.6667
52747,715,1001.7778,2548,445,8911.7778,110.6667,2437.3333,1552.8889,303,66.5556,1119.2222,17748.5556,20.8889,65,276.3333,135.4444,-97.6667,456.1111
52748,715,997.3333,2533.4444,445,8913.7778,111.8889,2421.3333,1549,302.4444,98,1121.5556,15204.1111,26.7778,52.6667,201.6667,145.1111,-35.5556,694.7778
52749,714,996.7778,2532.6667,442.1111,8938.6667,110.1111,2422.5556,1549.7778,302.4444,21.7778,1086.4444,18405.5556,28.8889,52.5556,244.2222,168,-47.2222,670.3333
52750,711.7778,1162.3333,2796.6667,437,9010,144.8889,2651.7778,1748,344.5556,79.5556,973.4444,17469.1111,17.4444,119.3333,261,199.6667,-41,726.4444
52751,712,1105,2708.2222,436,9014,169.3333,2538.8889,1663.8889,328,83.7778,952.4444,19860.3333,38.3333,69.7778,242,192.8889,-27.1111,761.7778
52752,707,1168.8889,3027.4444,421.6667,9109,88,2939.3333,1761.4444,353.2222,89.7778,480.1111,15879.6667,28.3333,-98,206.7778,146.4444,-43.6667,679.5556
52753,704.7778,1150.1111,3051.8889,415,9167.6667,46.1111,3005.8889,1741.3333,352,14.5556,490.5556,17864.6667,26.5556,-14,227.5556,117.4444,-68,525.8889
52754,695.1111,1140.1111,2733.7778,500.1111,8961.5556,76.6667,2656.8889,1719.6667,346.3333,147.8889,896.4444,11870.4444,39.1111,71.7778,170.8889,110.5556,-38.6667,626.6667
52755,691,1135.8889,2758.6667,487.2222,8996.1111,78.7778,2679.8889,1715.2222,348.2222,130.6667,820.1111,18528.2222,67,-3.5556,242.1111,145.3333,-66.2222,575.5556
52756,678.3333,1131,2847.5556,485.1111,9062.6667,54.6667,2793,1716,360.8889,56.1111,807.5556,19548.3333,33.2222,73.3333,224.5556,150.2222,-49.6667,636.2222
52757,716,995.1111,2538.8889,506,8878.6667,76.7778,2462.1111,1533.7778,295.1111,110.1111,1106.1111,15509.8889,21.8889,104.4444,173.7778,133.6667,-27.1111,732.1111
52758,701,1160.6667,3018.2222,444,9132.6667,89.7778,2928.6667,1752,355,21.6667,564.1111,17495.4444,32.3333,-19,187.2222,125.1111,-38.3333,654.6667
52759,710,1132.8889,2762.6667,439.3333,9137.8889,149.6667,2613.2222,1703.7778,338.8889,114.8889,933.4444,12295,42.3333,80,169.8889,116.2222,-38.6667,639.1111
52760,700.5556,1166.8889,3039.8889,438.6667,9143.4444,93.3333,2946.6667,1765.1111,357.3333,78.1111,533.6667,19512.3333,51,-8.8889,242.2222,190.8889,-31,760.4444
52761,711,1161,2790.6667,427.6667,9064.1111,138.3333,2652.6667,1746.1111,346.6667,68.8889,890.4444,14698.2222,43.5556,75.3333,208.6667,141.5556,-41.5556,684.2222
52762,714,1058.1111,2638.1111,443,8948.8889,157.1111,2480.8889,1608.8889,314.2222,47.8889,973.7778,18196.3333,12.2222,39.4444,248,165.2222,-44.1111,667.2222
52763,715,1038.4444,2592.8889,442,8947.8889,148,2444.7778,1578.2222,308,41.5556,1037.5556,16528.1111,27.7778,87.8889,185.4444,147.7778,-17.8889,762.5556
52764,715,953.3333,2445.8889,443.5556,8927,79.1111,2367,1487.1111,289.6667,73,1093.4444,13999,42.4444,28.6667,179.5556,141,-18.8889,758.5556
52765,716,1006.7778,2481.3333,440,8948.3333,101,2380.4444,1531.3333,298.6667,172.3333,1041.2222,14018.3333,34.1111,88.8889,198.4444,164.3333,-17.2222,788
52766,706,1122.3333,2803.2222,418.6667,9122.4444,110.2222,2693.1111,1685,338.3333,63.3333,769,19174.3333,27.7778,65.6667,281.2222,237.1111,-23.7778,789.3333
52767,720.4444,961.6667,2432.6667,424.8889,8957.5556,93.3333,2339.3333,1482.7778,288.4444,101.1111,1093.1111,18793.4444,27.4444,15.3333,216.6667,185.2222,-22.3333,782.6667
52768,717.2222,1050,2525,426.8889,8997,153.7778,2371,1567.5556,306.5556,136,895,12821.1111,30.3333,2.1111,201.4444,155.4444,-26.3333,730.1111
52769,710,1087.6667,2610.2222,411.7778,9119.5556,128.8889,2481.3333,1615.3333,323,74.3333,781,14248.3333,36.1111,33.7778,186.6667,166.8889,-7.4444,830.2222
52770,711,1077,2652.4444,420.6667,9085,93.3333,2559.3333,1606.7778,319,153.1111,629.1111,16273.8889,47.5556,-26.3333,228.4444,189.2222,-22.7778,786.4444
52771,714,1092.4444,2598.3333,431.8889,9031,139.7778,2458.6667,1619.8889,318,71.6667,694.7778,18960.7778,55.2222,-45.3333,256.1111,212.2222,-28.7778,780
52772,707,1083.6667,2758.3333,428.4444,9094.8889,58.8889,2699.2222,1619.4444,324,167.4444,651.3333,11510.6667,39.1111,41.3333,180.2222,152.7778,-13.1111,797.5556
52773,703,1163.4444,2956,419.4444,9149.6667,109.1111,2847,1751.8889,354.8889,15.5556,632.4444,19534.6667,26,15.1111,226.3333,203.8889,-8.6667,841
52774,709,1065.2222,2537.6667,455.5556,9014.7778,178,2359.6667,1562.7778,307.6667,99.5556,815.6667,14014.4444,27.5556,2.3333,204.8889,172.1111,-20.7778,775.6667
